Coverage,EmploymentStatus,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Vehicle.Class,Customer.Lifetime.Value
Premium,Unemployed,0,Single,119,1,3,Offer1,Four-Door Car,7559
Basic,Employed,36631,Divorced,62,0,1,Offer1,Four-Door Car,2491
Extended,Employed,37995,Married,139,0,1,Offer1,SUV,5597
Extended,Employed,70263,Married,93,0,5,Offer2,Two-Door Car,7462
Basic,Employed,36737,Married,69,0,2,Offer2,Two-Door Car,8149
Extended,Unemployed,0,Single,80,0,1,Offer2,Four-Door Car,2933
Extended,Unemployed,0,Married,136,0,2,Offer1,SUV,14325
Basic,Employed,25318,Married,63,2,2,Offer2,Four-Door Car,7367
Premium,Unemployed,0,Married,110,0,7,Offer1,Four-Door Car,8278
Extended,Employed,85297,Married,93,0,2,Offer2,Two-Door Car,14970
Basic,Employed,45270,Single,70,0,2,Offer4,Two-Door Car,8161
Extended,Employed,97238,Divorced,126,0,3,Offer3,SUV,10090
Basic,Employed,42303,Married,180,0,1,Offer2,Luxury SUV,7180
Basic,Employed,39718,Married,65,2,1,Offer1,Four-Door Car,2515
Basic,Employed,29629,Married,71,4,5,Offer1,Four-Door Car,5433
Basic,Unemployed,0,Single,73,3,2,Offer2,Four-Door Car,6952
Basic,Disabled,17099,Married,74.57365361,0,9,Offer1,Four-Door Car,5354
Extended,Employed,52965,Married,134,3,4,Offer4,SUV,10682
Basic,Unemployed,0,Single,63,0,1,Offer2,Two-Door Car,2254
Basic,Employed,29697,Married,64,0,2,Offer3,Four-Door Car,7540
Basic,Unemployed,0,Single,68,0,7,Offer4,Two-Door Car,4874
Basic,Unemployed,0,Married,71,0,3,Offer1,Four-Door Car,5507
Basic,Unemployed,0,Single,119,0,1,Offer2,SUV,4035
Extended,Employed,53441,Married,76,0,1,Offer4,Two-Door Car,3045
Basic,Employed,86498,Married,74,1,5,Offer3,Two-Door Car,5893
Extended,Employed,35666,Divorced,130,0,1,Offer1,Sports Car,5150
Extended,Employed,53984,Divorced,80,0,1,Offer1,Four-Door Car,3214
Basic,Employed,81741,Single,64,0,8,Offer1,Four-Door Car,5047
Basic,Employed,74454,Single,71,0,3,Offer2,Four-Door Car,5585
Extended,Unemployed,0,Married,87,0,2,Offer1,Four-Door Car,16060
Basic,Medical Leave,25143,Married,68,0,1,Offer1,Four-Door Car,2566
Basic,Employed,25927,Single,104.943802,0,1,Offer2,SUV,3933
Basic,Unemployed,0,Married,73,0,5,Offer1,Four-Door Car,5504
Extended,Retired,13663,Single,97,0,2,Offer1,Four-Door Car,25464
Basic,Unemployed,0,Married,70,0,2,Offer1,Four-Door Car,7919
Basic,Employed,50549,Divorced,61,0,7,Offer1,Four-Door Car,4745
Basic,Unemployed,0,Divorced,73,0,3,Offer1,Four-Door Car,5296
Premium,Employed,79655,Married,296,0,9,Offer2,Luxury Car,23984
Basic,Retired,22828,Married,106,0,2,Offer1,SUV,16473
Basic,Employed,47199,Married,119.0014847,0,1,Offer1,Sports Car,3874
Basic,Unemployed,0,Married,63,0,1,Offer2,Two-Door Car,2287
Extended,Employed,49078,Single,83,0,2,Offer2,Four-Door Car,26413
Basic,Medical Leave,11343,Married,74.52990486,0,5,Offer1,Two-Door Car,5595
Extended,Employed,47778,Married,96,0,7,Offer2,Four-Door Car,7606
Extended,Employed,25411,Single,92,0,3,Offer4,Four-Door Car,6997
Basic,Employed,68342,Divorced,72,0,6,Offer2,Two-Door Car,5697
Basic,Employed,79751,Married,65,0,1,Offer3,Two-Door Car,2561
Basic,Employed,34911,Divorced,105,1,1,Offer4,SUV,4039
Extended,Retired,10312,Married,78,0,1,Offer2,Four-Door Car,2886
Basic,Employed,43682,Married,107,0,1,Offer3,SUV,4267
Basic,Employed,56342,Single,67,0,1,Offer2,Four-Door Car,2668
Basic,Employed,25915,Married,63,1,8,Offer2,Four-Door Car,5004
Basic,Employed,83318,Married,83.58920991,0,1,Offer4,Two-Door Car,2956
Extended,Employed,43987,Married,96,0,1,Offer2,Four-Door Car,3843
Premium,Medical Leave,19464,Single,95.40261324,0,1,Offer1,Four-Door Car,2971
Basic,Medical Leave,17193,Divorced,66,0,1,Offer1,Four-Door Car,2506
Extended,Employed,42961,Married,83,0,2,Offer2,Four-Door Car,26453
Basic,Unemployed,0,Single,69,0,8,Offer1,Four-Door Car,4836
Basic,Employed,94362,Divorced,74,0,1,Offer1,Two-Door Car,2957
Extended,Employed,73339,Divorced,89,0,2,Offer2,Four-Door Car,17788
Premium,Unemployed,0,Single,114,0,2,Offer1,Four-Door Car,11880
Basic,Unemployed,0,Married,71,1,1,Offer3,Four-Door Car,2444
Premium,Employed,30361,Married,119,1,1,Offer2,Four-Door Car,4781
Basic,Employed,29462,Single,107,1,1,Offer2,SUV,4170
Extended,Medical Leave,18052,Married,96,0,1,Offer2,Four-Door Car,3657
Basic,Employed,35334,Married,65,0,4,Offer4,Four-Door Car,5170
Premium,Employed,68568,Married,223,1,6,Offer4,Luxury Car,18089
Basic,Disabled,28898,Divorced,65,0,1,Offer3,Four-Door Car,2541
Basic,Unemployed,0,Single,67,2,2,Offer1,Four-Door Car,6158
Basic,Employed,44986,Married,101,0,3,Offer1,SUV,8041
Basic,Unemployed,0,Divorced,118,1,1,Offer1,SUV,4389
Basic,Employed,35456,Married,109,0,6,Offer3,Sports Car,8545
Basic,Employed,44788,Married,61,0,2,Offer2,Four-Door Car,7285
Premium,Employed,42743,Married,114,0,6,Offer1,Four-Door Car,9050
Extended,Employed,66169,Married,96,1,1,Offer4,Two-Door Car,3790
Basic,Unemployed,0,Married,117,0,4,Offer3,SUV,8662
Basic,Employed,29460,Married,72,0,5,Offer4,Two-Door Car,5741
Premium,Employed,33561,Divorced,152,0,1,Offer3,Sports Car,5927
Basic,Unemployed,0,Married,69,0,1,Offer2,Two-Door Car,2497
Premium,Employed,41546,Divorced,111,0,3,Offer1,Four-Door Car,8709
Premium,Unemployed,0,Single,168,0,1,Offer1,SUV,6021
Basic,Employed,40864,Married,109,1,1,Offer1,SUV,4282
Extended,Employed,57844,Married,85,1,2,Offer3,Four-Door Car,16675
Premium,Employed,56855,Single,276,0,1,Offer1,Luxury Car,11009
Extended,Employed,59644,Married,79,0,1,Offer1,Four-Door Car,3136
Basic,Unemployed,0,Single,109,0,1,Offer1,SUV,3703
Basic,Unemployed,0,Single,68,3,2,Offer1,Four-Door Car,13197
Extended,Disabled,14254,Married,124,0,1,Offer3,SUV,4775
Basic,Employed,77748,Married,72,0,1,Offer2,Four-Door Car,2885
Basic,Disabled,26056,Married,73,0,2,Offer1,Four-Door Car,14206
Extended,Employed,73945,Married,78,0,8,Offer2,Two-Door Car,6243
Basic,Employed,37722,Single,116,0,8,Offer1,Sports Car,9075
Basic,Employed,67760,Married,74,0,3,Offer4,Four-Door Car,5947
Basic,Employed,33760,Married,105,0,2,Offer1,Sports Car,12296
Basic,Employed,49746,Married,109,0,1,Offer1,SUV,4282
Premium,Employed,74140,Divorced,118,2,2,Offer1,Four-Door Car,35227
Basic,Unemployed,0,Married,71.88540375,2,1,Offer2,Four-Door Car,2365
Basic,Unemployed,0,Single,66,2,1,Offer1,Two-Door Car,2162
Premium,Employed,41611,Married,148,0,1,Offer1,SUV,5977
Basic,Employed,52583,Single,113,0,7,Offer1,SUV,8879
Basic,Medical Leave,24152,Married,72,2,1,Offer3,Four-Door Car,2661
Basic,Retired,26802,Married,65.91423271,1,5,Offer2,Two-Door Car,4636
Extended,Employed,43137,Married,78.71029551,0,8,Offer2,Two-Door Car,7761
Basic,Unemployed,0,Married,102,0,2,Offer1,SUV,22103
Extended,Unemployed,0,Married,131,0,2,Offer3,SUV,44771
Basic,Employed,41449,Married,69,1,3,Offer3,Two-Door Car,5443
Extended,Employed,24279,Married,126,0,2,Offer2,Sports Car,14866
Basic,Employed,82427,Married,102,0,1,Offer2,SUV,4103
Premium,Employed,30763,Single,107.8038874,0,2,Offer1,Four-Door Car,12981
Basic,Retired,19683,Married,117,1,9,Offer1,Sports Car,8382
Basic,Employed,34990,Single,65,0,1,Offer2,Four-Door Car,2574
Extended,Employed,65165,Married,126,1,1,Offer2,SUV,5013
Basic,Disabled,21114,Single,180,0,1,Offer1,Luxury Car,6698
Extended,Disabled,22081,Married,84,0,6,Offer1,Two-Door Car,6503
Basic,Employed,44279,Married,61,0,7,Offer2,Two-Door Car,4788
Basic,Disabled,10375,Married,66,0,2,Offer1,Two-Door Car,7590
Basic,Unemployed,0,Married,70,0,4,Offer2,Two-Door Car,5414
Premium,Employed,43758,Married,149.1113035,0,1,Offer1,SUV,6803
Basic,Employed,92296,Married,69,0,1,Offer2,Two-Door Car,2759
Basic,Unemployed,0,Single,62,0,3,Offer3,Two-Door Car,4307
Basic,Unemployed,0,Married,65,0,2,Offer1,Two-Door Car,21343
Basic,Employed,76358,Divorced,63,0,2,Offer2,Four-Door Car,24061
Basic,Employed,35625,Married,65,1,3,Offer2,Four-Door Car,5107
Extended,Disabled,20545,Married,239,1,1,Offer1,Luxury Car,8283
Basic,Employed,29590,Married,66,0,1,Offer2,Two-Door Car,2599
Extended,Medical Leave,16367,Married,94,0,9,Offer1,Four-Door Car,7259
Extended,Medical Leave,15323,Married,128,0,1,Offer1,SUV,4772
Basic,Employed,71888,Married,115,0,4,Offer1,SUV,9215
Extended,Employed,25964,Married,76,2,2,Offer1,Four-Door Car,8646
Extended,Unemployed,0,Single,128,3,7,Offer1,SUV,8708
Basic,Employed,66685,Married,67,2,2,Offer2,Two-Door Car,7995
Basic,Employed,67840,Married,112,0,5,Offer2,SUV,9012
Basic,Employed,69853,Married,114,2,3,Offer1,SUV,9080
Extended,Medical Leave,22664,Married,92,0,1,Offer4,Four-Door Car,3436
Basic,Disabled,22000,Married,69,0,1,Offer2,Two-Door Car,2616
Premium,Employed,65348,Married,120.6537467,0,9,Offer1,SUV,17420
Extended,Employed,79797,Divorced,84,0,1,Offer4,Two-Door Car,3307
Extended,Unemployed,0,Single,133,0,3,Offer2,Sports Car,9415
Extended,Unemployed,0,Single,96,1,2,Offer3,Two-Door Car,23706
Extended,Employed,70263,Married,93,0,5,Offer2,Two-Door Car,7462
Extended,Employed,72540,Married,88,0,2,Offer2,Two-Door Car,10656
Basic,Employed,76474,Married,74,2,1,Offer4,Four-Door Car,2953
Premium,Employed,24581,Married,101,0,2,Offer1,Four-Door Car,11923
Basic,Employed,51790,Married,71,0,1,Offer2,Four-Door Car,2859
Extended,Employed,20396,Married,76,1,4,Offer1,Four-Door Car,6051
Basic,Employed,44667,Single,65,0,2,Offer1,Four-Door Car,7583
Premium,Employed,69096,Married,99,0,2,Offer1,Four-Door Car,19955
Extended,Unemployed,0,Single,91,1,1,Offer1,Four-Door Car,3133
Basic,Unemployed,0,Single,74,3,2,Offer1,Four-Door Car,8181
Basic,Employed,80358,Married,116,0,1,Offer4,SUV,4698
Basic,Disabled,19864,Divorced,63,0,1,Offer1,Four-Door Car,2359
Basic,Unemployed,0,Married,74,0,2,Offer1,Four-Door Car,7780
Basic,Employed,93416,Single,63,0,3,Offer2,Four-Door Car,4969
Basic,Unemployed,0,Single,73,0,6,Offer2,Two-Door Car,4966
Basic,Employed,88768,Single,68,0,4,Offer2,Four-Door Car,5505
Basic,Employed,93004,Married,63,0,2,Offer1,Four-Door Car,7627
Basic,Employed,37876,Single,69,0,1,Offer2,Four-Door Car,2647
Extended,Employed,47528,Married,77,1,1,Offer2,Four-Door Car,3071
Basic,Unemployed,0,Single,67,0,7,Offer2,Four-Door Car,4697
Premium,Employed,60475,Married,107,0,1,Offer2,Four-Door Car,4330
Extended,Employed,93489,Divorced,84,0,1,Offer2,Four-Door Car,3372
Basic,Employed,57561,Married,62,1,2,Offer1,Four-Door Car,14642
Extended,Employed,39075,Married,89,0,1,Offer1,Two-Door Car,3557
Extended,Employed,81081,Married,79,0,1,Offer2,Two-Door Car,3188
Basic,Employed,20072,Married,70,0,2,Offer2,Four-Door Car,8257
Basic,Unemployed,0,Married,68,1,9,Offer3,Four-Door Car,5037
Basic,Employed,67798,Divorced,69,0,9,Offer1,Four-Door Car,5548
Basic,Employed,99205,Married,68,0,1,Offer2,Two-Door Car,2735
Premium,Employed,76157,Married,116,0,1,Offer2,Two-Door Car,4669
Extended,Retired,10312,Married,78,0,1,Offer2,Four-Door Car,2886
Extended,Disabled,18213,Divorced,96,1,1,Offer1,Four-Door Car,3593
Basic,Employed,70988,Married,65,0,7,Offer3,Four-Door Car,5227
Extended,Unemployed,0,Married,84,0,3,Offer4,Two-Door Car,6288
Basic,Employed,71644,Married,105,0,2,Offer1,SUV,38410
Basic,Disabled,18174,Married,65,0,3,Offer4,Four-Door Car,4915
Extended,Employed,49419,Married,77,0,4,Offer2,Four-Door Car,6207
Basic,Employed,37388,Married,117,0,5,Offer4,SUV,9192
Basic,Unemployed,0,Married,64,0,7,Offer2,Four-Door Car,4774
Basic,Unemployed,0,Single,117,0,1,Offer1,SUV,4167
Basic,Unemployed,0,Single,64,3,5,Offer1,Four-Door Car,4165
Extended,Unemployed,0,Single,78,0,2,Offer1,Four-Door Car,8390
Basic,Employed,54010,Married,69,0,1,Offer2,Four-Door Car,2734
Extended,Employed,86073,Married,136,0,1,Offer4,Sports Car,5500
Extended,Employed,42570,Married,128,0,2,Offer2,SUV,15374
Basic,Employed,71600,Married,63,0,7,Offer2,Two-Door Car,4996
Extended,Unemployed,0,Single,126,0,1,Offer1,Sports Car,4692
Basic,Employed,52275,Married,62,0,5,Offer3,Four-Door Car,4982
Extended,Unemployed,0,Single,84,0,7,Offer3,Four-Door Car,6013
Basic,Employed,58089,Married,118,0,1,Offer1,SUV,4686
Basic,Employed,50876,Married,61,0,1,Offer1,Four-Door Car,2439
Premium,Employed,21733,Married,112,0,3,Offer3,Four-Door Car,8558
Basic,Employed,61844,Divorced,106,0,2,Offer1,Sports Car,12622
Basic,Employed,37313,Single,62,0,6,Offer3,Four-Door Car,4803
Basic,Employed,85132,Married,106,5,3,Offer1,SUV,8291
Basic,Employed,40602,Single,105,0,2,Offer2,Sports Car,12383
Extended,Employed,62053,Married,134,0,5,Offer1,SUV,10827
Extended,Unemployed,0,Married,96,0,7,Offer1,Four-Door Car,6715
Basic,Employed,38713,Divorced,66,4,6,Offer2,Four-Door Car,4834
Extended,Employed,92914,Married,136,0,8,Offer1,Sports Car,10978
Extended,Unemployed,0,Married,131,0,1,Offer2,SUV,4717
Basic,Employed,51675,Married,197,0,9,Offer1,Luxury Car,15470
Extended,Employed,29673,Single,92,2,1,Offer2,Two-Door Car,3491
Extended,Employed,36537,Single,85,0,2,Offer1,Four-Door Car,23515
Premium,Unemployed,0,Single,101.2813965,0,1,Offer2,Four-Door Car,4069
Basic,Employed,21375,Married,65,0,1,Offer3,Four-Door Car,2566
Basic,Unemployed,0,Married,65,0,1,Offer2,Four-Door Car,2441
Basic,Employed,50071,Single,68.08611749,0,1,Offer2,Two-Door Car,2771
Premium,Unemployed,0,Single,186,2,1,Offer1,SUV,7098
Extended,Unemployed,0,Married,126,0,4,Offer3,SUV,9372
Premium,Employed,61987,Married,125,0,1,Offer2,SUV,5021
Basic,Unemployed,0,Married,106,0,1,Offer3,SUV,3837
Basic,Employed,70082,Married,119,0,1,Offer1,SUV,4743
Extended,Employed,39786,Married,91,1,9,Offer1,Four-Door Car,7255
Extended,Unemployed,0,Divorced,123,2,1,Offer1,SUV,4140
Extended,Employed,39335,Married,201,0,2,Offer1,Luxury SUV,24967
Basic,Retired,10621,Married,118,0,1,Offer2,SUV,4389
Basic,Employed,76912,Married,116,2,2,Offer4,Sports Car,27934
Premium,Employed,99517,Divorced,109,0,3,Offer2,Four-Door Car,8743
Basic,Employed,87957,Divorced,61,0,2,Offer3,Four-Door Car,7334
Basic,Employed,27800,Single,67,0,1,Offer4,Two-Door Car,2606
Basic,Employed,47590,Single,119,0,1,Offer1,SUV,4652
Basic,Employed,94812,Married,70,0,1,Offer2,Four-Door Car,2833
Basic,Disabled,26708,Married,108,0,2,Offer1,SUV,13197
Premium,Employed,25708,Divorced,118,0,2,Offer1,Four-Door Car,13780
Extended,Medical Leave,12287,Single,99,0,1,Offer2,Four-Door Car,3700
Basic,Employed,58498,Married,67,3,1,Offer2,Four-Door Car,2570
Basic,Employed,75497,Single,67,0,2,Offer3,Four-Door Car,7955
Basic,Medical Leave,20815,Divorced,107,0,3,Offer1,SUV,8509
Extended,Unemployed,0,Single,84.55443104,0,1,Offer2,Sports Car,4505
Extended,Employed,66676,Married,97,0,1,Offer3,Four-Door Car,3919
Basic,Unemployed,0,Single,107,0,4,Offer4,SUV,7196
Extended,Employed,24631,Married,83,1,2,Offer2,Four-Door Car,26413
Basic,Employed,59665,Single,62,1,1,Offer1,Two-Door Car,2409
Extended,Employed,21604,Divorced,79,0,1,Offer1,Four-Door Car,3096
Premium,Employed,94804,Married,114,0,1,Offer2,SUV,4630
Premium,Employed,58842,Married,110,0,1,Offer2,Four-Door Car,4362
Extended,Unemployed,0,Married,96,0,3,Offer2,Four-Door Car,6941
Basic,Unemployed,0,Single,69,1,1,Offer1,Four-Door Car,2347
Basic,Unemployed,0,Single,74,0,3,Offer1,Four-Door Car,4966
Basic,Employed,75963,Single,70,0,5,Offer2,Four-Door Car,5519
Premium,Employed,57394,Married,106,0,3,Offer4,Four-Door Car,8458
Extended,Employed,57693,Divorced,137,0,1,Offer1,SUV,5597
Extended,Employed,56270,Married,83,0,4,Offer2,Four-Door Car,6685
Extended,Employed,78092,Married,84,0,1,Offer2,Four-Door Car,3349
Basic,Employed,59207,Single,116.3196418,0,3,Offer1,Luxury SUV,13869
Basic,Unemployed,0,Married,115,0,2,Offer1,SUV,31161
Basic,Employed,51066,Single,74,0,8,Offer2,Four-Door Car,5780
Extended,Retired,23091,Married,96,5,5,Offer1,Four-Door Car,5926
Extended,Unemployed,0,Single,132,0,3,Offer1,SUV,9338
Basic,Employed,36650,Married,69,1,1,Offer2,Four-Door Car,2725
Basic,Employed,87462,Married,61,1,1,Offer4,Four-Door Car,2436
Basic,Employed,36529,Married,118,0,1,Offer1,SUV,4762
Basic,Employed,65978,Married,67,0,3,Offer2,Two-Door Car,5394
Basic,Unemployed,0,Single,73,0,3,Offer1,Four-Door Car,5132
Extended,Unemployed,0,Single,77,0,2,Offer3,Two-Door Car,8025
Basic,Unemployed,0,Married,107,0,3,Offer1,SUV,8002
Basic,Medical Leave,24992,Married,106,0,3,Offer1,SUV,8139
Extended,Employed,52651,Single,94,0,2,Offer3,Two-Door Car,29874
Basic,Employed,52583,Single,113,0,7,Offer1,SUV,8879
Basic,Employed,61006,Married,74,1,3,Offer3,Two-Door Car,5908
Basic,Employed,24744,Married,67,0,1,Offer4,Four-Door Car,2514
Basic,Disabled,22679,Married,72,0,4,Offer1,Two-Door Car,5570
Basic,Employed,31093,Single,64,0,1,Offer3,Four-Door Car,2482
Basic,Employed,34378,Married,102,0,1,Offer3,SUV,4118
Premium,Employed,27750,Married,297,1,1,Offer1,Luxury Car,11618
Premium,Employed,72193,Married,118,0,1,Offer4,Four-Door Car,4755
Extended,Employed,23235,Married,82,0,3,Offer2,Four-Door Car,6459
Extended,Employed,99494,Married,83,0,3,Offer2,Four-Door Car,6650
Premium,Employed,89382,Married,107.7626333,0,3,Offer1,Four-Door Car,9036
Basic,Employed,57587,Divorced,68,0,7,Offer3,Four-Door Car,5418
Basic,Employed,62452,Married,67,0,1,Offer2,Two-Door Car,2671
Extended,Employed,43510,Married,83,0,1,Offer3,Four-Door Car,3337
Extended,Unemployed,0,Married,96,0,1,Offer1,Four-Door Car,3731
Extended,Unemployed,0,Single,96,0,1,Offer3,Two-Door Car,3467
Basic,Unemployed,0,Married,62,0,3,Offer1,Two-Door Car,4665
Extended,Employed,76375,Married,96,0,1,Offer2,Four-Door Car,3838
Basic,Disabled,20261,Divorced,72,0,1,Offer4,Four-Door Car,2780
Basic,Employed,95765,Married,61,0,3,Offer1,Four-Door Car,4935
Extended,Employed,74001,Married,84,0,2,Offer4,Four-Door Car,10114
Extended,Unemployed,0,Single,86,3,5,Offer1,Four-Door Car,5337
Basic,Unemployed,0,Single,70,0,1,Offer1,Two-Door Car,2386
Basic,Employed,39381,Divorced,74,0,7,Offer3,Four-Door Car,5886
Basic,Retired,20228,Divorced,101,1,2,Offer1,SUV,10408
Basic,Employed,78337,Divorced,62,2,2,Offer1,Two-Door Car,21892
Premium,Unemployed,0,Married,151,1,2,Offer1,SUV,46302
Basic,Employed,65351,Married,66.31400558,0,1,Offer2,Four-Door Car,2799
Extended,Employed,20396,Married,76,1,4,Offer2,Four-Door Car,6051
Basic,Unemployed,0,Single,71,0,5,Offer2,Two-Door Car,4979
Basic,Employed,31756,Married,66,0,8,Offer1,Four-Door Car,5237
Extended,Employed,52447,Single,85.44734191,0,7,Offer1,Four-Door Car,7057
Premium,Unemployed,0,Single,136,3,6,Offer1,Sports Car,8501
Basic,Unemployed,0,Single,106,0,1,Offer1,SUV,3788
Basic,Employed,69781,Married,119,0,2,Offer2,SUV,23990
Basic,Employed,24641,Married,105,0,1,Offer2,SUV,4196
Basic,Employed,98132,Married,71,0,3,Offer3,Two-Door Car,5734
Basic,Employed,57338,Single,68.31072204,0,3,Offer1,Four-Door Car,5291
Basic,Employed,99316,Married,112,0,1,Offer2,SUV,4510
Extended,Unemployed,0,Single,124,0,2,Offer3,Sports Car,17253
Basic,Unemployed,0,Married,105,0,4,Offer2,SUV,7591
Basic,Employed,36650,Married,69,1,1,Offer2,Four-Door Car,2725
Premium,Employed,69379,Single,103,0,1,Offer1,Two-Door Car,4118
Extended,Employed,87473,Divorced,95,0,8,Offer2,Four-Door Car,7584
Basic,Employed,34137,Married,64,1,2,Offer2,Four-Door Car,7531
Basic,Disabled,25030,Married,113,4,1,Offer2,Sports Car,4112
Basic,Unemployed,0,Single,72,1,3,Offer2,Four-Door Car,4715
Basic,Unemployed,0,Single,101,0,1,Offer3,SUV,3723
Extended,Unemployed,0,Single,125,0,1,Offer1,SUV,4512
Basic,Unemployed,0,Single,69,1,1,Offer4,Two-Door Car,2276
Basic,Employed,57883,Married,69,0,9,Offer3,Four-Door Car,5580
Basic,Employed,50512,Single,67,0,1,Offer3,Four-Door Car,2637
Extended,Disabled,12904,Married,113.3893612,0,1,Offer1,SUV,5165
Basic,Employed,96917,Married,71,0,9,Offer2,Two-Door Car,5736
Basic,Employed,26841,Married,72,1,1,Offer2,Four-Door Car,2852
Basic,Employed,35979,Single,88.81471064,2,1,Offer3,Sports Car,4422
Premium,Employed,60964,Married,113,0,4,Offer3,Four-Door Car,9051
Basic,Employed,69040,Married,104.2523357,0,1,Offer4,SUV,4330
Basic,Employed,37009,Single,71,0,1,Offer1,Two-Door Car,2806
Basic,Employed,85756,Divorced,61,0,3,Offer2,Four-Door Car,4815
Basic,Medical Leave,25965,Divorced,65,0,1,Offer1,Four-Door Car,2491
Extended,Employed,66429,Married,135,0,1,Offer4,SUV,5322
Extended,Employed,87139,Married,213,0,3,Offer4,Luxury SUV,17109
Extended,Employed,81955,Married,126,0,2,Offer1,SUV,15320
Basic,Employed,56172,Divorced,64,0,1,Offer3,Four-Door Car,2500
Extended,Employed,64669,Married,131,0,6,Offer4,Sports Car,10594
Extended,Unemployed,0,Single,125,0,6,Offer1,SUV,8682
Basic,Unemployed,0,Single,68,0,2,Offer1,Two-Door Car,14428
Basic,Employed,95301,Married,114,0,1,Offer3,SUV,4619
Extended,Employed,65252,Divorced,78,0,9,Offer2,Four-Door Car,6091
Extended,Employed,64600,Single,87,1,5,Offer2,Two-Door Car,6861
Extended,Employed,25358,Married,108.6869014,0,2,Offer4,SUV,14260
Extended,Employed,56649,Married,134.5410974,0,1,Offer1,SUV,5008
Basic,Employed,42336,Single,69,0,1,Offer3,Four-Door Car,2756
Basic,Employed,80480,Married,93.39081247,0,3,Offer2,Four-Door Car,5800
Extended,Employed,88701,Married,99,0,1,Offer2,Two-Door Car,3963
Basic,Employed,41396,Married,70,0,3,Offer2,Four-Door Car,5640
Basic,Employed,67890,Married,63,0,3,Offer4,Four-Door Car,5018
Extended,Employed,66676,Married,99,2,1,Offer2,Four-Door Car,3939
Extended,Employed,46143,Divorced,122,0,1,Offer1,SUV,4794
Basic,Employed,95854,Married,65,0,1,Offer2,Two-Door Car,2632
Extended,Employed,26876,Divorced,79,0,8,Offer1,Two-Door Car,6005
Extended,Medical Leave,12780,Married,93,0,3,Offer1,Four-Door Car,6529
